ID,Association Number,Association Name,Donation Receipt Date,Foreign Entity Name,Type of Foreign Entity,Donation Amount,Currency,Exchange Rate,Donation Purpose,Donation Conditions,Donation Year,Donation Quarter,Main Funding from Foreign Entity
83,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,מרכז תרבות אמריקה,מדינה זרה,38840,שקל חדש,1.0,החזר הוצאות -שילה גורדן+גון סקופילד.,קיום מופעים,2012,2,לא
84,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,פורום תרבות אוסטריה,מדינה זרה,29400,שקל חדש,1.0,החזר הוצאות טיסה ואירוח,קיום מופע אקסנטוס,2012,2,לא
85,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,BI ARTS,מדינה זרה,24240,שקל חדש,1.0,תמיכה במופע,קיום מופע אד אינפיניטום,2012,2,לא
86,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,שגרירות יפן,מדינה זרה,62016,שקל חדש,1.0,תשלום כ~א +לינה,קיום מופע ימאטו,2012,2,לא
87,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,מרכז תרבות רומניה,מדינה זרה,186200,אירו,4.9,תמיכה במופע כריסטוס+א-קפלה,קיום מופע,2012,2,לא
88,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,ממשלת סין,מדינה זרה,294840,דולר ארה~ב,3.9,תשלום שכר קונג פו,קיום מופע,2012,2,לא
89,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,קרן יפן,מדינה זרה,171726,ין יפני,5.13,טיסות ומטען ימאטו,קיום מופע,2012,2,לא
90,580006559,פסטיבל ישראל~ ירושלים (ע~ר),09/10/2012,ממשלת צכיה,מדינה זרה,750000,שקל חדש,1.0,תמיכה במופעים א-קפלה~רקוויאם~פורמן~תערוכה~קבלת פנים~מועדון ג'ז,קיום מופע,2012,2,לא
91,580006559,פסטיבל ישראל~ ירושלים (ע~ר),22/04/2018,מרכז אמריקאי,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,10800,שקל חדש,0.0,תמיכה במופעי הפסטיבל,קיום מופעים,2017,4,לא
92,580006559,פסטיבל ישראל~ ירושלים (ע~ר),22/04/2018,שגרירות איטליה,אורגן~ רשות או נציגות של מדינה זרה או של איחוד מדינות זרות,3211,שקל חדש,0.0,תמיכה במופע בפסטיבל,קיום מופע,2017,4,לא
